City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
279,Santa Lucia,ES,27.9117,-15.5407,63.72,68,20,16.11,few clouds
280,Road Town,VG,18.4167,-64.6167,80.64,65,20,12.66,few clouds
281,Ugoofaaru,MV,5.6667,73.0,80.8,73,33,11.01,scattered clouds
282,Cholet,FR,47.1667,-1.0,57.31,64,8,7.38,clear sky
283,Laborie,LC,13.75,-60.9833,82.0,70,40,20.71,scattered clouds
284,Lavrentiya,RU,65.5833,-171.0,-24.52,91,9,10.69,clear sky
285,Cidreira,BR,-30.1811,-50.2056,73.83,41,0,16.73,clear sky
286,Saint-Louis,SN,16.3333,-15.0,97.27,5,3,10.36,clear sky
287,Luena,AO,-11.7833,19.9167,70.54,77,94,9.69,light rain
288,Lar,IN,26.2039,83.9717,57.2,65,0,4.76,clear sky
289,Douglas,US,41.3,-96.167,34.99,70,100,5.75,overcast clouds
290,Shablykino,RU,52.8566,35.1964,32.31,98,100,14.97,snow
291,Hay River,CA,60.8156,-115.7999,1.38,85,100,6.91,light snow
292,Sarny,UA,51.338,26.6019,34.39,99,100,3.62,overcast clouds
293,Kaitangata,NZ,-46.2817,169.8464,53.92,79,19,2.04,few clouds
294,Lagoa,PT,39.05,-27.9833,59.18,71,0,14.07,clear sky
295,Sorong,ID,-0.8833,131.25,79.81,81,53,5.28,light rain
296,Mikun,RU,62.3547,50.0771,16.47,96,100,5.03,overcast clouds
297,Constitucion,CL,-35.3333,-72.4167,67.42,65,60,4.56,broken clouds
298,Kanpur,IN,26.4667,80.35,60.67,55,0,2.93,clear sky
299,Urucara,BR,-2.5364,-57.76,76.26,89,100,2.73,overcast clouds
300,Piterka,RU,50.6803,47.4454,14.11,99,21,2.71,few clouds
301,Palembang,ID,-2.9167,104.7458,80.69,83,40,3.44,scattered clouds
302,Cordoba,AR,-31.4135,-64.1811,70.65,52,0,8.05,clear sky
303,Lumeje,AO,-11.55,20.7833,76.28,65,100,9.78,light rain
304,Bouna,CI,9.2667,-3.0,96.94,10,99,6.96,overcast clouds
305,Crotone,IT,39.0851,17.1178,58.95,62,0,21.85,clear sky
306,Payo,ID,-3.7508,103.6372,73.4,96,86,3.13,overcast clouds
307,Saint-Augustin,CA,51.226,-58.6502,3.4,94,100,3.38,light snow
308,Axim,GH,4.8699,-2.2405,83.14,71,46,11.79,light rain
309,Verkhnetulomskiy,RU,68.6073,31.7962,19.53,97,100,2.51,light snow
310,San Cristobal,VE,7.7669,-72.225,68.18,56,69,2.91,broken clouds
311,Novopokrovka,UA,49.8425,36.5477,34.18,100,100,13.42,light snow
312,Aromashevo,RU,56.8602,68.6375,5.97,91,16,8.61,few clouds
313,Kikwit,CD,-5.041,18.8162,87.28,52,84,4.09,broken clouds
314,Moussoro,TD,13.6408,16.4901,87.21,8,52,12.95,broken clouds
315,Tahe,CN,52.3333,124.7333,-4.23,100,91,3.04,overcast clouds
316,Geraldton,AU,-28.7667,114.6,68.41,60,0,13.8,clear sky
317,Portland,US,45.5234,-122.6762,42.17,94,40,5.75,scattered clouds
318,Plainview,US,40.7765,-73.4673,35.58,84,100,9.22,mist
319,Killybegs,IE,54.6333,-8.45,52.45,81,100,24.29,overcast clouds
320,Odweyne,SO,9.4092,45.064,80.08,37,73,16.71,broken clouds
321,Kedrovyy,RU,56.1667,91.8167,14.41,98,100,4.7,overcast clouds
322,Sakakah,SA,29.9697,40.2064,63.97,27,0,4.23,clear sky
323,Lufilufi,WS,-13.8745,-171.5986,74.98,76,100,7.85,light rain
324,Nouadhibou,MR,20.931,-17.0347,73.38,64,57,9.22,broken clouds
325,Newport,GB,51.5877,-2.9984,53.17,91,98,12.1,overcast clouds
326,Alamosa,US,37.4695,-105.87,11.71,84,0,3.44,clear sky
