City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
643,Moyale,KE,85.84,broken clouds,3.5167,39.0584,La Tahzan Guest House
645,Umm Lajj,SA,72.25,clear sky,25.0213,37.2685,Moon light Furnished Units
646,Ahuimanu,US,73.11,few clouds,21.4447,-157.8378,Paradise Bay Resort
647,Takoradi,GH,84.4,broken clouds,4.8845,-1.7554,Raybow International Hotel
648,Brisbane,AU,68.63,clear sky,-27.4679,153.0281,Royal On The Park Brisbane
650,Puerto Baquerizo Moreno,EC,77.99,few clouds,-0.9,-89.6,Hotel los Algarrobos
651,Tutoia,BR,89.58,broken clouds,-2.7619,-42.2744,Pousada Guará's
653,Ewa Beach,US,73.35,clear sky,21.3156,-158.0072,Uncle Junior Robert
657,Karratha,AU,84.33,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
661,Maningrida,AU,80.17,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
